"Species","Length_cm","Speed_cms","Mode"
"Naso lituratus",27.0818048828372,78.3912150259283,"Swimming"
"Naso lituratus",22.1491750714914,96.9036213870994,"Swimming"
"Naso lituratus",24.9582270242993,80.1261408984478,"Swimming"
"Naso lituratus",26.1903031928166,32.7600777711263,"Swimming"
"Zebrasoma scopas",13.6453263393195,14.8362869842546,"Swimming"
"Zebrasoma scopas",19.1654520587141,32.382295522755,"Swimming"
"Zebrasoma scopas",18.1429589894732,47.5399816250433,"Swimming"
"Naso lituratus",21.8848988340058,18.1701689728527,"Swimming"
"Chromis iomelas",3.32933888470846,20.5942402472593,"Swimming"
"Zebrasoma scopas",18.4899047600189,26.0952804522379,"Swimming"
"Zebrasoma scopas",17.0739592631661,49.9089561069757,"Swimming"
"Chlorurus spilurus",29.9490277094221,66.9158653980824,"Swimming"
"Chromis iomelas",3.24744531652781,23.7726481811067,"Swimming"
"Cephalopholis argus",28.4730342655587,23.4549580731137,"Swimming"
"Chlorurus spilurus",33.7112753223173,76.2313766517262,"Swimming"
"Zebrasoma scopas",14.0338531991843,26.2366014334894,"Swimming"
"Cephalopholis argus",20.3048209724115,18.890253946099,"Swimming"
"Zebrasoma scopas",19.5841854944264,44.2799454229308,"Swimming"
"Cephalopholis argus",35.3215885405536,25.6593417851791,"Swimming"
"Zebrasoma scopas",17.7376347232377,53.9617645113698,"Swimming"
"Chlorurus spilurus",42.1390333666893,122.855021357398,"Swimming"
"Chaetodon pelewensis",8.47062211057913,20.8374454475651,"Swimming"
"Chromis iomelas",4.72759602334287,13.3025589165534,"Swimming"
"Chromis iomelas",3.84596763009755,12.3291374078017,"Swimming"
"Zebrasoma scopas",18.6194296516047,29.2449650736837,"Swimming"
"Zebrasoma scopas",14.1411569091266,35.386087658238,"Swimming"
"Cephalopholis argus",32.5257364438213,35.5936437574758,"Swimming"
"Chaetodon pelewensis",9.72474104480111,46.5770100842882,"Swimming"
"Chlorurus spilurus",44.9645997421971,99.7845639899616,"Swimming"
"Chaetodon pelewensis",8.38334259105158,39.7835632627711,"Swimming"
"Chromis iomelas",2.65788398176875,13.3508069508515,"Swimming"
"Zebrasoma scopas",12.5732620354268,27.7183607077917,"Swimming"
"Chaetodon pelewensis",7.15955395434987,17.2083995387512,"Swimming"
"Zebrasoma scopas",13.83575229544,31.0161420739173,"Swimming"
"Chromis iomelas",3.52631684580672,15.5403911152659,"Swimming"
"Chaetodon pelewensis",7.37040549737012,3.26294316164583,"Eating"
"Chromis iomelas",2.76725833734413,10.8829203053937,"Swimming"
"Chaetodon pelewensis",8.02129095975741,5.38447053049085,"Eating"
"Chromis iomelas",2.58711062786304,8.01903566556431,"Swimming"
"Ctenochaetus striatus",14.8933111251004,18.3168434542739,"Swimming"
"Chromis iomelas",2.87051703169781,10.4431006887578,"Swimming"
"Chromis iomelas",2.82736658165312,23.2744410554356,"Swimming"
"Ctenochaetus striatus",15.0776880869455,17.6456919445555,"Swimming"
"Chaetodon pelewensis",6.26743544758093,2.70715598924379,"Eating"
"Chromis iomelas",2.71896245867765,17.1335507834471,"Swimming"
"Ctenochaetus striatus",14.9409709403874,18.5176642315125,"Swimming"
"Chromis iomelas",2.98268285679397,8.10991269910587,"Swimming"
"Chromis iomelas",3.67440826961087,9.60283479489267,"Swimming"
"Cephalopholis argus",20.5799460256864,22.6580561648196,"Swimming"
"Chaetodon ornatissimus",11.1501739119263,28.0537446502717,"Swimming"
"Chaetodon ornatissimus",11.4082366582112,23.5820073825721,"Swimming"
"Ctenochaetus striatus",14.9278651711586,19.6514829744911,"Swimming"
"Chaetodon pelewensis",7.13253356488312,11.1216835812276,"Swimming"
"Zebrasoma scopas",10.2248139060186,22.759264661366,"Swimming"
"Zebrasoma scopas",13.7257882697435,26.3147630343285,"Swimming"
"Ctenochaetus striatus",15.0542852265815,27.8155624829084,"Swimming"
"Chromis iomelas",2.71650795009679,13.9263834931966,"Swimming"
"Chaetodon pelewensis",6.68537662181946,18.8156878314665,"Swimming"
"Chromis iomelas",4.2968253848039,19.0983327966037,"Swimming"
"Chromis iomelas",2.39027899437882,12.3388293204805,"Swimming"
"Zebrasoma scopas",6.27805274223352,13.4494323261872,"Swimming"
"Chromis iomelas",2.54383747436502,12.4233994526377,"Swimming"
"Cephalopholis argus",25.700721057786,61.175226740241,"Swimming"
"Chromis iomelas",2.17415546827145,10.1104853354113,"Swimming"
"Ctenochaetus striatus",15.6335050657369,11.3031224431808,"Swimming"
"Chaetodon pelewensis",8.04119091003468,43.5033437112698,"Swimming"
"Zebrasoma scopas",10.8712187847914,21.1184676517857,"Swimming"
"Zebrasoma scopas",14.3509792802872,23.184219123965,"Swimming"
"Chromis iomelas",4.36619665003721,8.37164237341586,"Swimming"
"Ctenochaetus striatus",15.2108786482543,19.6982930049931,"Swimming"
"Zebrasoma scopas",14.9138409354586,21.2642042694053,"Swimming"
"Chromis iomelas",4.35867246723027,2.70501646498657,"Swimming"
"Zebrasoma scopas",10.3669457559513,23.880114268202,"Swimming"
"Chaetodon pelewensis",6.82042812588098,7.71584298747834,"Eating"
"Chromis iomelas",2.78354007225297,10.0303521156031,"Swimming"
"Chromis iomelas",3.30747134326863,7.37101854456155,"Swimming"
"Chromis iomelas",3.78865357358797,10.6218345506547,"Swimming"
"Chromis iomelas",3.23311727855573,9.41891318229204,"Swimming"
"Zebrasoma scopas",15.2317202495747,14.9750211518187,"Swimming"
"Chromis iomelas",3.60835340434344,8.8485470070158,"Swimming"
"Ctenochaetus striatus",9.9414354432862,24.4625270786064,"Swimming"
"Chromis iomelas",3.2527949053431,8.47783381869674,"Swimming"
"Chromis iomelas",3.42716945499861,6.3889335275395,"Swimming"
"Chromis iomelas",3.46077723081121,9.14699148703082,"Swimming"
"Odonus niger",22.731696679795,59.9789827006105,"Swimming"
"Chromis iomelas",4.3845598783618,27.6999068980646,"Swimming"
"Ctenochaetus striatus",9.56564830913911,17.585243831243,"Swimming"
"Chaetodon pelewensis",8.20137054098568,21.1856059643203,"Swimming"
"Cephalopholis argus",23.9011689865999,19.9176432665643,"Swimming"
"Zebrasoma scopas",17.3828976516253,23.0179915594645,"Swimming"
"Chromis iomelas",3.31941543413096,14.8251004569711,"Swimming"
"Chaetodon pelewensis",7.29712250581673,6.5986438539336,"Eating"
"Chaetodon pelewensis",7.45488890687439,9.33680308213808,"Eating"
"Ctenochaetus striatus",9.08613708942267,13.0084361015065,"Swimming"
"Chaetodon pelewensis",6.97773969189587,5.87171462363523,"Eating"
"Chaetodon pelewensis",7.31827912135898,10.5029133149539,"Eating"
"Chromis iomelas",3.66262663887861,13.028593240925,"Swimming"
"Chaetodon pelewensis",7.63978591274892,11.7610485571447,"Eating"
"Ctenochaetus striatus",15.8612604514551,18.2408926729715,"Swimming"
"Chromis iomelas",2.7658990593217,9.63571442051351,"Swimming"
"Chaetodon pelewensis",6.5649380439131,14.1430004715407,"Eating"
"Chaetodon pelewensis",7.57184143526321,8.58934762568279,"Eating"
"Chaetodon pelewensis",6.83999840713804,13.3568440178397,"Eating"
"Chromis iomelas",4.46226876975556,8.50090556071458,"Swimming"
"Zebrasoma scopas",14.8618335718954,19.3088334909107,"Swimming"
"Cephalopholis argus",23.5319597708225,19.9767390252355,"Swimming"
"Zebrasoma scopas",14.7371726513966,23.9664121471577,"Swimming"
"Chromis iomelas",3.99051855171861,10.7973951743791,"Swimming"
"Chromis iomelas",2.91709978977763,10.8583540883683,"Swimming"
"Chromis iomelas",3.37503218142027,9.5457530961633,"Swimming"
"Zebrasoma scopas",14.7673780969985,12.4756242134252,"Swimming"
"Chromis iomelas",3.80585789231196,11.6078376573513,"Swimming"
"Chromis iomelas",3.1494184683297,13.5690670069934,"Swimming"
"Zebrasoma scopas",14.9487031393055,30.5481689950008,"Swimming"
"Chromis iomelas",2.62966972883947,11.9200175533361,"Swimming"
"Zebrasoma scopas",15.061330822045,16.9543955241398,"Swimming"
"Chromis iomelas",4.30655549717025,10.6643659513739,"Swimming"
"Ctenochaetus striatus",17.3099428711418,21.3420823719462,"Swimming"
"Chromis iomelas",3.62566592123921,12.9389541024725,"Swimming"
"Cephalopholis argus",24.7963765280529,22.1721388008858,"Swimming"
"Chaetodon pelewensis",7.13815261113516,8.6557213805161,"Eating"
"Chromis iomelas",3.8427625837291,17.2980481735296,"Swimming"
"Chromis iomelas",3.74641786861917,10.4191157609744,"Swimming"
"Naso lituratus",18.9752803786189,37.6386318690315,"Swimming"
"Chromis iomelas",2.78477019114129,7.15637354817927,"Swimming"
"Ctenochaetus striatus",17.7243073632066,36.8268962979742,"Swimming"
"Chromis iomelas",3.61699485936574,14.4247483736353,"Swimming"
"Chromis iomelas",4.38487024230911,9.76332679392998,"Swimming"
"Ctenochaetus striatus",15.473702870734,19.4590374334417,"Swimming"
"Chlorurus spilurus",20.8900267595423,83.5050373310873,"Swimming"
"Cephalopholis argus",27.1310016475452,15.8239904108174,"Swimming"
"Chromis iomelas",4.43132612679041,6.94304718969639,"Swimming"
"Cephalopholis argus",24.3962994460368,11.2459603217493,"Swimming"
"Chromis iomelas",4.43453192941889,21.142604056609,"Swimming"
"Naso lituratus",18.8265785961039,19.8415845566316,"Swimming"
"Chromis iomelas",3.80864218323927,16.7255433739084,"Swimming"
"Chaetodon pelewensis",7.75406326700305,35.0061590563573,"Swimming"
"Chaetodon pelewensis",7.44062584578199,16.0694523340541,"Swimming"
"Naso lituratus",18.8401289632325,23.9001375600524,"Swimming"
"Cephalopholis argus",23.9471591655206,18.6388305410287,"Swimming"
"Zebrasoma scopas",14.7730532377879,20.1231831014983,"Swimming"
"Zebrasoma scopas",15.3650746306138,19.5739763200634,"Swimming"
"Chromis iomelas",4.19361493747299,14.3552511730704,"Swimming"
"Ctenochaetus striatus",17.0856174846789,20.7935207534024,"Swimming"
"Chlorurus spilurus",20.4061208400751,15.818451603361,"Eating"
"Chlorurus spilurus",19.8595080852687,94.4352373538221,"Swimming"
"Chromis iomelas",3.66132490442358,10.2751500880751,"Swimming"
"Zebrasoma scopas",12.4543641223223,11.9534990386992,"Eating"
"Zebrasoma scopas",13.2640621405051,5.30331311728225,"Eating"
"Chaetodon pelewensis",7.39580786519963,27.1202365673887,"Swimming"
"Chromis iomelas",3.44268220692554,11.0241903916227,"Swimming"
"Zebrasoma scopas",12.8720798831616,3.40925515218104,"Swimming"
"Zebrasoma scopas",12.8526474230482,7.92244343163835,"Swimming"
"Zebrasoma scopas",14.5930727379576,4.63374793301356,"Eating"
"Chromis iomelas",3.89595282506177,6.81884015960888,"Swimming"
"Cephalopholis argus",11.6790347640657,26.454936909011,"Swimming"
"Ctenochaetus striatus",18.2722199671062,33.8531069754128,"Swimming"
"Chromis iomelas",3.34113787201682,8.64185646630624,"Swimming"
"Chlorurus spilurus",21.5068860535694,41.6076882564932,"Swimming"
"Naso lituratus",21.4528023789361,8.61629196636566,"Eating"
"Zebrasoma scopas",11.9428675979416,17.3628949116564,"Swimming"
"Cephalopholis argus",21.4447447738419,27.9590225855879,"Swimming"
"Chromis iomelas",2.89461503713695,6.17279559635396,"Swimming"
"Cephalopholis argus",30.4402538348329,20.8751867311435,"Swimming"
"Chlorurus spilurus",24.6967950170274,29.0481794674833,"Swimming"
"Cephalopholis argus",20.2934090810407,31.7960243770663,"Swimming"
"Chromis iomelas",3.5879738390611,6.11960817248907,"Swimming"
"Naso lituratus",20.8194438049583,22.6961531913179,"Swimming"
"Naso lituratus",16.1727968681401,29.1965595944684,"Swimming"
"Zebrasoma scopas",14.4841327359952,26.941605818262,"Swimming"
"Chromis iomelas",2.6991344492832,9.64594287059169,"Swimming"
"Cephalopholis argus",25.3367437894177,23.7014302503943,"Swimming"
"Chaetodon pelewensis",7.9023221247271,5.38159772890862,"Eating"
"Chaetodon pelewensis",7.70377512356188,7.02407305079442,"Swimming"
"Chlorurus spilurus",24.9893730761973,45.6844893669148,"Swimming"
"Ctenochaetus striatus",15.0271984634182,19.5788885262629,"Swimming"
"Zebrasoma scopas",5.72018601085174,3.32945072151165,"Eating"
"Chromis iomelas",3.26106269922886,10.9549044948468,"Swimming"
"Chlorurus spilurus",19.26859840357,23.3393313753367,"Swimming"
"Zebrasoma scopas",10.1515151186748,19.7038455518267,"Swimming"
"Chlorurus spilurus",22.5624271543827,50.0956301221681,"Swimming"
"Chlorurus spilurus",15.6989255775432,33.5227519205245,"Swimming"
"Chlorurus spilurus",18.8697172388313,35.9008469987802,"Swimming"
"Chaetodon ornatissimus",11.9434603190188,26.3704173606251,"Swimming"
"Naso lituratus",21.2561122603006,17.4504016901422,"Swimming"
"Chaetodon pelewensis",7.33338048972385,12.44022556351,"Swimming"
"Chaetodon ornatissimus",10.3339181914094,35.9167552006182,"Swimming"
"Ctenochaetus striatus",14.8630244946768,32.2717084632561,"Swimming"
"Naso lituratus",20.1415829015664,48.9167134185953,"Swimming"
"Ctenochaetus striatus",15.1327715897215,17.1661638381984,"Swimming"
"Chaetodon pelewensis",8.45118294009845,8.08736490326333,"Swimming"
"Chromis iomelas",2.58173850114619,15.989375658067,"Swimming"
"Chlorurus spilurus",19.5644254371067,23.6587772325681,"Swimming"
"Naso lituratus",18.9291822385328,51.7665313789903,"Swimming"
"Chlorurus spilurus",22.744622307396,47.1866002532638,"Swimming"
"Ctenochaetus striatus",14.3989987721954,19.7492540488081,"Swimming"
"Chlorurus spilurus",26.4956069521201,52.122197276621,"Swimming"
"Chromis iomelas",2.82533763663081,4.50530900877026,"Swimming"
"Chlorurus spilurus",10.7210544353735,27.6299877284709,"Swimming"
"Chlorurus spilurus",14.6130518082941,23.5398430077471,"Swimming"
"Naso lituratus",20.7214316804235,22.5108372774242,"Swimming"
"Zebrasoma scopas",9.54664087642728,21.5219946172997,"Swimming"
"Chlorurus spilurus",15.5907397971249,14.8463911163086,"Swimming"
"Chlorurus spilurus",26.6217880080479,52.0478363269162,"Swimming"
"Naso lituratus",19.0552716264007,14.1790268073548,"Swimming"
"Zebrasoma scopas",10.4200998640903,23.6072933327961,"Swimming"
"Chlorurus spilurus",23.3823312356633,48.2668414795602,"Swimming"
"Naso lituratus",17.1217015359325,25.2350330624891,"Swimming"
"Cephalopholis argus",21.6667653726155,17.2626370274946,"Swimming"
"Naso lituratus",19.3877908813171,42.3981594027478,"Swimming"
