"Family","Species","species","k_m","k_sd","Qc_m","Qc_sd","Qn_m","Qn_sd","Qp_m","Qp_sd","Dc_m","Dc_sd","Dn_m","Dn_sd","Dp_m","Dp_sd","diet_cat","alpha_m","alpha_sd","f0_m","f0_sd","theta_m","lwa_m","lwb_m","lwa_sd","lwb_sd","r_m","h_m","v_m","linf_m","F0nz_m","F0nz_sd","F0pz_m","F0pz_sd","ac_m","an_m","ap_m"
"Labridae","Cryptotomus roseus","Cryptotomus_roseus",0.524663295157244,0.11133169793732,37.3432046522916,0.627107621387726,10.6168105167729,0.183161034964076,3.99826971803165,0.181695791175259,29.168904461175,4.23092956228374,4.04493405240521,0.820856004427687,0.376734259957844,0.162257118378599,2,0.795533872892107,0.0326652492240726,0.00115003074546267,0.000146535665759678,2.02715326091193,0.01202,3.13,0.00427040816326531,0.0765306122448979,1.11485,2,23,13,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Cryptotomus roseus","Cryptotomus_roseus",0.535734136178448,0.112044477381215,37.3432046522916,0.627107621387726,10.6168105167729,0.183161034964076,3.99826971803165,0.181695791175259,29.168904461175,4.23092956228374,4.04493405240521,0.820856004427687,0.376734259957844,0.162257118378599,2,0.795533872892107,0.0326652492240726,0.00124304842166823,0.000146535665759678,2.02715326091193,0.01202,3.13,0.00427040816326531,0.0765306122448979,1.11485,2,24,13,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Nicholsina denticulata","Nicholsina_denticulata",0.268464174589981,0.0478060757820355,37.4146900093058,0.639887840927415,10.6631917841268,0.186136367330185,3.94497096771794,0.185021774348853,28.7032004496163,4.37023027351718,3.89368047739305,0.849206084442682,0.35582928525212,0.167534257525213,2,0.795533872892107,0.0326652492240726,0.00115003074546267,0.000146535665759678,2.02715326091193,0.01096,3.08,0.0059234693877551,0.0918367346938774,1.78293,2,23,32,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Nicholsina denticulata","Nicholsina_denticulata",0.274135777927649,0.0479124737717532,37.4146900093058,0.639887840927415,10.6631917841268,0.186136367330185,3.94497096771794,0.185021774348853,28.7032004496163,4.37023027351718,3.89368047739305,0.849206084442682,0.35582928525212,0.167534257525213,2,0.795533872892107,0.0326652492240726,0.00124304842166823,0.000146535665759678,2.02715326091193,0.01096,3.08,0.0059234693877551,0.0918367346938774,1.78293,2,24,32,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Nicholsina denticulata","Nicholsina_denticulata",0.279971836401371,0.0482520322773186,37.4146900093058,0.639887840927415,10.6631917841268,0.186136367330185,3.94497096771794,0.185021774348853,28.7032004496163,4.37023027351718,3.89368047739305,0.849206084442682,0.35582928525212,0.167534257525213,2,0.795533872892107,0.0326652492240726,0.0013428888065964,0.000146535665759678,2.02715326091193,0.01096,3.08,0.0059234693877551,0.0918367346938774,1.78293,2,25,32,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Sparisoma cretense","Sparisoma_cretense",0.20349946005057,0.0359093190483869,37.5251137301159,0.659266368179809,10.7316063886674,0.190762481423954,3.86296396663976,0.18991031997569,28.7070576599881,4.39523675298922,3.88750371319542,0.854304938904357,0.354220225254585,0.168498070231014,2,0.795533872892107,0.0326652492240726,0.00124304842166823,0.000146535665759678,2.02715326091193,0.00955,3.08,0.00236734693877551,0.0612244897959184,1.64453,2.86,24,50,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Sparisoma radians","Sparisoma_radians",0.403765033423234,0.0779025060515558,37.6575172593878,0.618064584802541,10.8361807480178,0.178063473397917,3.76743666840132,0.177771511547189,28.9381126595054,4.26814929884185,3.97945088187077,0.828288830373823,0.371071067900332,0.16354866998868,2,0.795533872892107,0.0326652492240726,0.00106341299904287,0.000146535665759678,2.02715326091193,0.00977,3.06,0.00343367346938776,0.0765306122448979,1.12435,2,22,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Sparisoma radians","Sparisoma_radians",0.412217450051902,0.0778257252128685,37.6575172593878,0.618064584802541,10.8361807480178,0.178063473397917,3.76743666840132,0.177771511547189,28.9381126595054,4.26814929884185,3.97945088187077,0.828288830373823,0.371071067900332,0.16354866998868,2,0.795533872892107,0.0326652492240726,0.00115003074546267,0.000146535665759678,2.02715326091193,0.00977,3.06,0.00343367346938776,0.0765306122448979,1.12435,2,23,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Sparisoma radians","Sparisoma_radians",0.420913737739884,0.0780489544045207,37.6575172593878,0.618064584802541,10.8361807480178,0.178063473397917,3.76743666840132,0.177771511547189,28.9381126595054,4.26814929884185,3.97945088187077,0.828288830373823,0.371071067900332,0.16354866998868,2,0.795533872892107,0.0326652492240726,0.00124304842166823,0.000146535665759678,2.02715326091193,0.00977,3.06,0.00343367346938776,0.0765306122448979,1.12435,2,24,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Sparisoma radians","Sparisoma_radians",0.429861981479971,0.0786105406956983,37.6575172593878,0.618064584802541,10.8361807480178,0.178063473397917,3.76743666840132,0.177771511547189,28.9381126595054,4.26814929884185,3.97945088187077,0.828288830373823,0.371071067900332,0.16354866998868,2,0.795533872892107,0.0326652492240726,0.0013428888065964,0.000146535665759678,2.02715326091193,0.00977,3.06,0.00343367346938776,0.0765306122448979,1.12435,2,25,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Sparisoma radians","Sparisoma_radians",0.439070566818243,0.079548308394419,37.6575172593878,0.618064584802541,10.8361807480178,0.178063473397917,3.76743666840132,0.177771511547189,28.9381126595054,4.26814929884185,3.97945088187077,0.828288830373823,0.371071067900332,0.16354866998868,2,0.795533872892107,0.0326652492240726,0.00144999914330855,0.000146535665759678,2.02715326091193,0.00977,3.06,0.00343367346938776,0.0765306122448979,1.12435,2,26,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Sparisoma radians","Sparisoma_radians",0.448548192056018,0.0808983864145798,37.6575172593878,0.618064584802541,10.8361807480178,0.178063473397917,3.76743666840132,0.177771511547189,28.9381126595054,4.26814929884185,3.97945088187077,0.828288830373823,0.371071067900332,0.16354866998868,2,0.795533872892107,0.0326652492240726,0.00156485234076935,0.000146535665759678,2.02715326091193,0.00977,3.06,0.00343367346938776,0.0765306122448979,1.12435,2,27,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Sparisoma radians","Sparisoma_radians",0.458303880985373,0.0826941031622153,37.6575172593878,0.618064584802541,10.8361807480178,0.178063473397917,3.76743666840132,0.177771511547189,28.9381126595054,4.26814929884185,3.97945088187077,0.828288830373823,0.371071067900332,0.16354866998868,2,0.795533872892107,0.0326652492240726,0.00168794822309524,0.000146535665759678,2.02715326091193,0.00977,3.06,0.00343367346938776,0.0765306122448979,1.12435,2,28,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Sparisoma atomarium","Sparisoma_atomarium",0.391340814353372,0.0682061440343519,37.7362603015072,0.592619708651794,10.9252198991834,0.169404531538021,3.67588164484836,0.168996781322649,28.7187929290197,4.39724488116801,3.88958203286368,0.854697832811807,0.354321436909553,0.168571873712636,2,0.795533872892107,0.0326652492240726,0.00168794822309524,0.000146535665759678,2.02715326091193,0.015714322511065,3.12478840589298,0.0054640765998536,0.071646183803889,1.41474453017833,2,28,25,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Sparisoma tuiupiranga","Sparisoma_tuiupiranga",0.504600510869758,0.103476453641773,37.7782133399585,0.589729416469097,10.9962257433983,0.167588308281625,3.60925783420181,0.166463331779157,28.8470094668388,4.35937953562217,3.93090474204789,0.846863112615849,0.359993000758583,0.167098273929517,2,0.795533872892107,0.0326652492240726,0.00106341299904287,0.000146535665759678,2.02715326091193,0.01622,3.13,0.00562755102040816,0.0714285714285715,1.18429,2,22,15.39999962,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
